SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,LEN,COL_COMMENT,SOURCE
MESAPUSER,APP_REPORT,ID,VARCHAR2,64,,空
MESAPUSER,APP_REPORT,NAME,VARCHAR2,100,,空
MESAPUSER,APP_REPORT,URL,VARCHAR2,300,,空
MESAPUSER,APP_REPORT,CREATE_TIME,TIMESTAMP(6),11,,空
MESAPUSER,APP_UPGRADE,ID,VARCHAR2,64,,空
MESAPUSER,APP_UPGRADE,APP_ID,VARCHAR2,100,,空
MESAPUSER,APP_UPGRADE,VERSION,NUMBER,22,,空
MESAPUSER,APP_UPGRADE,CONTENT,VARCHAR2,300,修改后内容,SCO_DATA_DIC(D)
MESAPUSER,APP_UPGRADE,URL,VARCHAR2,300,,空
MESAPUSER,APP_UPGRADE,CREATE_TIME,TIMESTAMP(6),11,,空
MESAPUSER,APP_UPGRADE,UPGRADE_TYPE,VARCHAR2,10,,空
MESAPUSER,A_TEST_ORD_CONTRACT,CONTRACT_CD,VARCHAR2,50,Contract Code,SCO_DATA_DIC(D)
MESAPUSER,A_TEST_ORD_CONTRACT,ORD_NO,VARCHAR2,50,Order No,SCO_DATA_DIC(D)
MESAPUSER,BATCH_MOD_VAL,ID,VARCHAR2,5,,空
MESAPUSER,BATCH_MOD_VAL,VAL,NUMBER,22,,空
MESAPUSER,BD_MARBASCLASS,AVERAGECOST,NUMBER,22,,空
MESAPUSER,BD_MARBASCLASS,AVERAGEMMAHEAD,NUMBER,22,,空
MESAPUSER,BD_MARBASCLASS,AVERAGEPURAHEAD,NUMBER,22,,空
MESAPUSER,BD_MARBASCLASS,AVGPRICE,NUMBER,22,,空
MESAPUSER,BD_MARBASCLASS,CODE,VARCHAR2,40,,空
MESAPUSER,BD_MARBASCLASS,CREATIONTIME,CHAR,19,,空
MESAPUSER,BD_MARBASCLASS,CREATOR,VARCHAR2,20,,空
MESAPUSER,BD_MARBASCLASS,DATAORIGINFLAG,NUMBER,22,,空
MESAPUSER,BD_MARBASCLASS,DEF1,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF10,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF2,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF3,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF4,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF5,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF6,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF7,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF8,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DEF9,VARCHAR2,101,,空
MESAPUSER,BD_MARBASCLASS,DR,NUMBER,22,,空
MESAPUSER,BD_MARBASCLASS,ENABLESTATE,NUMBER,22,,空
MESAPUSER,BD_MARBASCLASS,INNERCODE,VARCHAR2,200,,空
MESAPUSER,BD_MARBASCLASS,MODIFIEDTIME,CHAR,19,,空
MESAPUSER,BD_MARBASCLASS,MODIFIER,VARCHAR2,20,,空
MESAPUSER,BD_MARBASCLASS,NAME,VARCHAR2,300,,空
MESAPUSER,BD_MARBASCLASS,NAME2,VARCHAR2,300,,空
MESAPUSER,BD_MARBASCLASS,NAME3,VARCHAR2,300,,空
MESAPUSER,BD_MARBASCLASS,NAME4,VARCHAR2,300,,空
MESAPUSER,BD_MARBASCLASS,NAME5,VARCHAR2,300,,空
MESAPUSER,BD_MARBASCLASS,NAME6,VARCHAR2,300,,空
MESAPUSER,BD_MARBASCLASS,PK_GROUP,CHAR,20,,空
MESAPUSER,BD_MARBASCLASS,PK_MARASSTFRAME,VARCHAR2,20,,空
MESAPUSER,BD_MARBASCLASS,PK_MARBASCLASS,CHAR,20,,空
MESAPUSER,BD_MARBASCLASS,PK_ORG,CHAR,20,,空
MESAPUSER,BD_MARBASCLASS,PK_PARENT,VARCHAR2,20,,空
MESAPUSER,BD_MARBASCLASS,TS,CHAR,19,인장시험,SCO_DATA_DIC(L)
