中文(zh),韩文(ko),英文(en),出现次数,示例代码组,关联代码组数
.产品成分允许偏差国家标准,국가제품성분허용차기준,,1,QLT_DSN_PRDCHEM_STD_TY,1
0.05以内,,,1,SMS_END_C_CONT_TY,1
0.08%以上,,,1,SMS_END_C_CONT_TY,1
1#BF 1#出铁口,,,1,CHEM_LVL3_CD,1
1#BF 2#出铁口,,,1,CHEM_LVL3_CD,1
1#BF 3#出铁口,,,1,CHEM_LVL3_CD,1
1#BF 4#出铁口,,,1,CHEM_LVL3_CD,1
1#TRT发电,,,1,SCH_PROC_MATE,1
1#加热炉,,1# Furnace,1,FCE_NO,1
1#卷取机,,,1,DC_NO,1
1#场地,,,1,LOCATION,1
1#大棚,,,1,LOCATION,1
1#库位,,,1,SIS_FAC_SZ_KU,1
1#方坯连铸机,,,1,PROC_SMS,1
1#机,,,1,SIS_FAC_SZ,1
1#水渣机,,BF1,1,SIS_FAC_SLAG,1
1#烧结,,,2,PROC_CD_WG,2
1#焦炉,,,2,PROC_CD_SCK,2
1#煤气发电,,,1,SCH_PROC_MATE,1
1#白灰窑,,,2,PROC_CD_BH,2
1#转炉,,,1,PROC_SMS,1
1#转炉渣,,1 BOF,1,CHEM_LVL2_CD,1
1#连退,,,1,CAL_PROC_CD,1
1#连退线,,CAL1,1,PROC_CD_F,1
1#重分卷线,,RCL1,1,PROC_CD_F,1
1#铸机,,,1,CCM_CD_W,1
1#风机,,,1,SIS_FAC_CD2,1
1#高炉,,,4,SCH_PROC_CD,4
1#高炉,,BF1,1,SIS_FAC_CD,1
1/2#连退,,,1,CAL_PROC_CD,1
1/2W 部位,,,28,BEND_SMP_WTH_LOC,28
1/2W部位,,,1,MECH_SMP_WTH_LOC,1
1/2硬质,1/2경질,,1,TEMP_GRADE_CD,1
1/3焦煤,,,1,ITEM_SPEC,1
1/4W 部位,,,28,BEND_SMP_WTH_LOC,28
1/4W部位,,,1,MECH_SMP_WTH_LOC,1
1/4硬质,1/4경질,,1,TEMP_GRADE_CD,1
1/8硬质,1/8경질,,1,TEMP_GRADE_CD,1
1000倍,,,1,PHOTO_EXP_RATE,1
100倍,,,1,PHOTO_EXP_RATE,1
10min以下,,,1,RH_TREAT_TIME_TY,1
10分,,,1,MONI_INTV,1
10分以下,,,1,SECOND_RFN_TIME_TY,1
10国内产品红冲,,,1,INVOICE_TRACT_TY,1
10国内产品销售,,,1,INVOICE_TRACT_TY,1
10月,,,1,MONTH_LOV,1
110000000_公司领导,,,1,DEPT_CD,1
110100000_办公室,,,1,DEPT_CD,1
110200000_生产指挥中心,,,1,DEPT_CD,1
110200000_规划部,,,1,DEPT_CD,1
110KV变电站,,,1,SCH_PLAN_PROJ_CD,1
11国外产品红冲,,,1,INVOICE_TRACT_TY,1
11国外产品销售,,,1,INVOICE_TRACT_TY,1
11月,,,1,MONTH_LOV,1
12副产品红冲,,,1,INVOICE_TRACT_TY,1
12副产品销售,,,1,INVOICE_TRACT_TY,1
12小时,,,1,CC_CB_COOL_TIME_TY,1
12月,,,1,MONTH_LOV,1
13半成品红冲,,,1,INVOICE_TRACT_TY,1
13半成品销售,,,1,INVOICE_TRACT_TY,1
14材料销售,,,1,INVOICE_TRACT_TY,1
14材料销售红冲,,,1,INVOICE_TRACT_TY,1
15化产品红冲,,,1,INVOICE_TRACT_TY,1
15化产品销售,,,1,INVOICE_TRACT_TY,1
16min以上,,,1,RH_DEGAS_TIME_TY,1
16国内产品差价,,,1,INVOICE_TRACT_TY,1
180℃前馏出物,,,1,CHEM_CD,1
1个/批,"'동일 heat,동일 패호,동일 압연상테,동일 두깨",,1,TSL_SMP_CND,1
1分,,,1,MONI_INTV,1
1号出铁口,,,1,TAPHOLE_NO,1
1号炉,,,1,SPR_FCE_NO,1
1号烧结机,,,1,PROC_CD_COST,1
1号焦炉,,,1,PROC_CD,1
1号转炉,,,1,FUL_LAD_ARR_LOC_TAG,1
1号高炉,,,3,PROC_CD,3
1星等级,,,1,CUST_GRD,1
1月,,,1,MONTH_LOV,1
1棒材,,1HR,1,QLT_FPROC_HOT_TY,1
1次,,,1,NO_FCE_CHARGE,1
1炼钢连铸,,1SMS,1,QLT_FPROC_SMS_TY,1
1线材,,1HR RCL,1,QLT_FPROC_HRFN_TY,1
1连铸工厂,1연주,,1,CC_PLANT_FL,1
2#TRT发电,,,1,SCH_PROC_MATE,1
2#加热炉,,2# Furnace,1,FCE_NO,1
2#卷取机,,,1,DC_NO,1
2#吹氩站,,2 WF,1,CHEM_LVL2_CD,1
2#大棚,,,1,LOCATION,1
2#库位,,,1,SIS_FAC_SZ_KU,1
2#方坯连铸机,,,1,PROC_SMS,1
2#机,,,1,SIS_FAC_SZ,1
2#水渣机,,F2,1,SIS_FAC_SLAG,1
2#烧结,,,2,PROC_CD_WG,2
2#焦炉,,,2,PROC_CD_SCK,2
2#煤气发电,,,1,SCH_PROC_MATE,1
2#白灰窑,,,2,PROC_CD_BH,2
2#脱硫站,,2 KR,1,CHEM_LVL2_CD,1
2#转炉,,,1,PROC_SMS,1
2#转炉,,2 BOF,2,CHEM_LVL2_CD,1
2#连退,,,1,CAL_PROC_CD,1
2#连退线,,CAL2,1,PROC_CD_F,1
2#重分卷线,,RCL2,1,PROC_CD_F,1
2#风机,,,1,SIS_FAC_CD2,1
2#高炉,,,4,SCH_PROC_CD,4
2#高炉,,BF2,1,SIS_FAC_CD,1
2.尺寸形状允许偏差国家标准编号,국가표준,,1,SZSHP_TOL_DSN_STD_TY,1
200倍,,,1,PHOTO_EXP_RATE,1
230°前馏出量,,,1,CHEM_CD,1
23加工费发票,,,1,INVOICE_TRACT_TY,1
23加工费红冲,,,1,INVOICE_TRACT_TY,1
24min以上,,,1,RH_TREAT_TIME_TY,1
24小时,,,1,CC_CB_COOL_TIME_TY,1
270°前馏出量,,,1,CHEM_CD,1
2个/批,"'동일 heat,동일 패호,동일 압연상테,동일 두깨,매lot 40t 이하",,1,TSL_SMP_CND,1
2号出铁口,,,1,TAPHOLE_NO,1
2号炉,,,1,SPR_FCE_NO,1
2号烧结机,,,1,PROC_CD_COST,1
2号焦炉,,,1,PROC_CD,1
2号转炉,,,1,FUL_LAD_ARR_LOC_TAG,1
2号高炉,,,3,PROC_CD,3
2星等级,,,1,CUST_GRD,1
2月,,,1,MONTH_LOV,1
2次,,,1,NO_FCE_CHARGE,1
2次加工脆性试验实绩,,,1,MECH_TEST_ITEM_CD,1
2炼钢LF连铸,,2SMS,1,QLT_FPROC_SMS_TY,1
2连铸工厂,2연주,,1,CC_PLANT_FL,1
2阶段控轧,,,1,CONT_ROLL_PAT,1
3#加热炉,,3#Furnace,1,FCE_NO,1
3#卷取机,,,1,DC_NO,1
3#吹氩站,,3 WF,1,CHEM_LVL2_CD,1
3#大棚,,,1,LOCATION,1
3#库位,,,1,SIS_FAC_SZ_KU,1
3#板坯连铸机,,,1,PROC_SMS,1
3#白灰窑,,,2,PROC_CD_BH,2
3#脱硫站,,3 KR,1,CHEM_LVL2_CD,1
3#转炉,,3 BOF,2,CHEM_LVL2_CD,1
300°前馏出量,,,1,CHEM_CD,1
30˚方向采样,30방향으로 시편채취,,28,BEND_SMP_SPCMN_DIR,28
30分,,,1,MONI_INTV,1
3500产线,,,2,ALTER_PLT_CD,2
3个/批,"'동일 heat,동일 패호,동일 압연상테,동일 두깨,매lot 50t 이하",,1,TSL_SMP_CND,1
3号出铁口,,,1,TAPHOLE_NO,1
3号炉,,,1,SPR_FCE_NO,1
3号转炉,,,1,FUL_LAD_ARR_LOC_TAG,1
3无运费,,3 no  Transfer Price,1,INVOICE_MODE,1
3星等级,,,1,CUST_GRD,1
3月,,,1,MONTH_LOV,1
3次,,,1,NO_FCE_CHARGE,1
3炼钢LF VD 连铸,,3SMS,1,QLT_FPROC_SMS_TY,1
3阶段控轧,,,1,CONT_ROLL_PAT,1
4#吹氩站,,4 WF,1,CHEM_LVL2_CD,1
4#库位,,,1,SIS_FAC_SZ_KU,1
4#白灰窑,,,2,PROC_CD_BH,2
4#脱硫站,,4 KR,1,CHEM_LVL2_CD,1
4#转炉,,4 BOF,2,CHEM_LVL2_CD,1
400ppm以内,,,1,SMS_END_O2_CONT_TY,1
4300厚板UST,,,1,PROC_CD_ERP,1
4300厚板剪切,,,1,PROC_CD_ERP,1
4300厚板加热炉,,,1,PROC_CD_ERP,1
