代码组(master_cd),代码值(cd_val),中文(zh),韩文(ko),英文(en),启用(use_yn)
1,1,,,,Y
ABNR_REASON_CD,1A,炼钢提前出钢,제강 선 출장,,Y
ABNR_REASON_CD,1B,RH设备异常,RH 설비이상,,Y
ABNR_REASON_CD,1C,LF设备异常,LF 설비이상,,Y
ABNR_REASON_CD,1D,炼钢天车异常,제강Crane이상,,Y
ABNR_REASON_CD,1E,炼钢成分异常,제강 성분이상,,Y
ABNR_REASON_CD,1F,铁水不足,용선부족,,Y
ABNR_REASON_CD,1G,炼钢副原料不足,부 원료 부족,,Y
ABNR_REASON_CD,1H,炼钢现场调整申请,제강 현장 조정요청,,Y
ABNR_REASON_CD,1J,炼钢其他,제강 기타,,Y
ABNR_REASON_CD,21,板坯成分,,Slab Reject,Y
ABNR_REASON_CD,2A,连铸调宽设备异常,연주 폭 가변 설비이상,,Y
ABNR_REASON_CD,22,板坯未生产,Slab 미생산,,Y
ABNR_REASON_CD,2B,连铸原因,연주Breeding,,Y
ABNR_REASON_CD,2C,连铸突发情况,연주Break Out,,Y
ABNR_REASON_CD,2D,连铸天车异常,연주 Crane이상,,Y
ABNR_REASON_CD,2E,模具未准备,Mold 미준비,,Y
ABNR_REASON_CD,2F,连铸设备异常,연주설비이상,,Y
ABNR_REASON_CD,2G,连铸附属设备异常,연주부대설비이상,,Y
ABNR_REASON_CD,2H,连铸现场调整申请,연주 현장 조정요청,,Y
ABNR_REASON_CD,2J,连铸其他,연주기타,,Y
ABNR_REASON_CD,3A,加热炉异常,가열로 이상,,Y
ABNR_REASON_CD,3B,热轧轧制设备异常,열연압연설비이상,,Y
ABNR_REASON_CD,3C,热轧D/C异常,열연D/C이상,,Y
ABNR_REASON_CD,3D,热轧天车设备异常,열연 Crane설비이상,,Y
ABNR_REASON_CD,3F,热轧计划停休延迟,열연 계획휴지지연,,Y
ABNR_REASON_CD,3G,冷却区域 Full,냉각장 Full,,Y
ABNR_REASON_CD,3J,热轧其他,열연기타,,Y
ABNR_REASON_CD,4B,冷轧轧制设备异常,냉연압연설비이상,,Y
ABNR_REASON_CD,4C,冷轧D/C异常,냉연D/C이상,,Y
ABNR_REASON_CD,4D,天车设备异常,Crane이상,,Y
ABNR_REASON_CD,4F,冷轧计划停休延迟,냉연계획휴지지연,,Y
ABNR_REASON_CD,4G,仓库Full,창고Full,,Y
ABNR_REASON_CD,4J,冷轧其他,냉연기타,,Y
ABNR_REASON_CD,5A,加热炉异常,가열로 이상,,Y
ABNR_REASON_CD,5B,厚板轧制设备异常,후판압연설비이상,,Y
ABNR_REASON_CD,5C,"厚板DS,DSS异常",후판전단설비이상,,Y
ABNR_REASON_CD,5D,厚板天车设备异常,후판Crane설비이상,,Y
ABNR_REASON_CD,5F,厚板计划停休延迟,후판계획휴지지연,,Y
ABNR_REASON_CD,5G,冷却区域 Full,냉각장 Full,,Y
ABNR_REASON_CD,5J,厚板其他,후판기타,,Y
ABNR_REASON_CD,6A,修改订单,수정주문,,Y
ABNR_REASON_CD,6B,取消订单,취소주문,,Y
ABNR_REASON_CD,6C,质量设计异常,품질설계이상,,Y
ABNR_REASON_CD,6D,质量设计遗漏,품질설계누락,,Y
ABNR_REASON_CD,6E,设计成分异常,설계성분이상,,Y
ABNR_REASON_CD,6J,订单/质量其他,주문/품질 기타,,Y
ABNR_REASON_CD,7A,工序设计MISS,공정설계MISS,,Y
ABNR_REASON_CD,7B,交期替代申请,납기대체요청,,Y
ABNR_REASON_CD,7C,库存调整申请,재고조정요청,,Y
ABNR_REASON_CD,7D,紧急生产替代,긴급생산대체,,Y
ABNR_REASON_CD,7E,ROLL不适合,ROLL부적합,,Y
ABNR_REASON_CD,7F,设计项目遗漏,설계항목누락,,Y
ABNR_REASON_CD,7J,工序其他,공정기타,,Y
ABNR_REASON_GRP,1,,,Steel Making,Y
ABNR_REASON_GRP,2,,,Casting,Y
ABNR_REASON_GRP,3,,,Hot Rolling,Y
ABNR_REASON_GRP,4,,,Cold Rolling,Y
ABNR_REASON_GRP,5,,,Plate Rolling,Y
ABNR_REASON_GRP,6,,,Order & Quality,Y
ABNR_REASON_GRP,7,,,Planning,Y
ACCEPT_YN,Y,已接收,,,Y
ACCEPT_YN,N,未接收,,,Y
ALLOC_CHK_TY,M,,,Mandatory Check,Y
ALLOC_CHK_TY,O,,,Optional Check,Y
ALLOC_CHK_TY,N,,,Not Check,Y
ALLOC_TY,A,,,Allocation,Y
ALLOC_TY,D,,,De-Allocation,Y
ALLOC_TY,E,,,Order Exchange,Y
ALTER_PLT_CD,3,3500产线,,,Y
